[2024-12-01 15:55:41,072: INFO: 3963953584: result variable is not none and calling the handle_not_unique function]
[2024-12-01 15:55:41,073: INFO: 3963953584: Handling Duplicate image with hash: 72cac7cf6beb8754539e63c603cb649e0939f1c3 and j: 2]
[2024-12-01 15:55:41,073: INFO: 3963953584: This face has already occured in this video]
[2024-12-01 15:55:41,073: INFO: 3963953584: Face is not clear]
[2024-12-01 15:55:42,025: INFO: 3963953584: No face in this frame 14 of video 2]
[2024-12-01 15:55:42,941: INFO: 3963953584: No face in this frame 14 of video 2]
[2024-12-01 15:55:43,866: INFO: 3963953584: No face in this frame 14 of video 2]
[2024-12-01 15:55:44,803: INFO: 3963953584: No face in this frame 14 of video 2]
[2024-12-01 15:55:45,746: INFO: 3963953584: No face in this frame 14 of video 2]
[2024-12-01 15:55:47,119: INFO: 3963953584: Found faces in frame 14 of video 2]
[2024-12-01 15:55:47,120: INFO: 3963953584: Face is clear]
[2024-12-01 15:55:47,123: INFO: 3963953584: Checking if the face is unique...]
[2024-12-01 15:55:47,135: INFO: 3963953584: No faces found in image or some other error so we are not considering it unique ]
[2024-12-01 15:55:47,136: INFO: 3963953584: face is not unique]
[2024-12-01 15:55:47,136: INFO: 3963953584: Face is clear]
[2024-12-01 15:55:47,140: INFO: 3963953584: Checking if the face is unique...]
[2024-12-01 15:55:47,149: INFO: 3963953584: No faces found in image or some other error so we are not considering it unique ]
[2024-12-01 15:55:47,149: INFO: 3963953584: face is not unique]
[2024-12-01 15:55:48,764: INFO: 3963953584: Found faces in frame 15 of video 2]
[2024-12-01 15:55:48,765: INFO: 3963953584: Face is clear]
[2024-12-01 15:55:48,768: INFO: 3963953584: Checking if the face is unique...]
[2024-12-01 15:55:48,777: INFO: 3963953584: No faces found in image or some other error so we are not considering it unique ]
[2024-12-01 15:55:48,778: INFO: 3963953584: face is not unique]
[2024-12-01 15:55:48,779: INFO: 3963953584: Face is clear]
[2024-12-01 15:55:48,782: INFO: 3963953584: Checking if the face is unique...]
[2024-12-01 15:55:48,918: INFO: 3963953584: Checking the distance of existing faces in dir]
